Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
65536,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,134144,2x2,1x1,4,4194304,134623.0,31.1559243219955
32,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,135168,2x2,1x1,4,32768,8520.0,3.8460093896713614
64,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,136192,2x2,1x1,4,65536,8526.0,7.68660567675346
128,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,137216,2x2,1x1,4,131072,8519.0,15.385843408850803
256,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,138240,2x2,1x1,4,262144,11035.0,23.755686452197555
512,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,139264,2x2,1x1,4,524288,18441.0,28.43056233392983
1024,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,140288,2x2,1x1,4,1048576,34692.0,30.225296898420385
2048,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,141312,2x2,1x1,4,2097152,68277.0,30.715350703750897
4096,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,142336,2x2,1x1,4,4194304,134686.0,31.141350994164203
8192,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,143360,2x2,1x1,4,8388608,269046.0,31.179084617500354
16384,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,144384,2x2,1x1,4,16777216,537839.0,31.193751289884148
32768,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,145408,2x2,1x1,4,33554432,1075465.0,31.199929332893213
65536,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,146432,2x2,1x1,4,67108864,2150599.0,31.204731332991415
32,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,147456,4x4,2x2,16,512,613.0,0.835236541598695
64,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,148480,4x4,2x2,16,1024,658.0,1.5562310030395137
128,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,149504,4x4,2x2,16,2048,628.0,3.261146496815287
256,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,150528,4x4,2x2,16,4096,671.0,6.104321907600596
512,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,151552,4x4,2x2,16,8192,855.0,9.581286549707603
1024,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,152576,4x4,2x2,16,16384,1338.0,12.245142002989537
2048,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,153600,4x4,2x2,16,32768,2295.0,14.277995642701525
