Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
2048,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,178176,4x4,2x2,16,8388608,613873.0,13.665054498243123
4096,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,179200,4x4,2x2,16,16777216,1222835.0,13.719934414700266
8192,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,180224,4x4,2x2,16,33554432,2424307.0,13.840834514770613
16384,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,181248,4x4,2x2,16,67108864,4891282.0,13.720097103376988
32768,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,182272,4x4,2x2,16,134217728,9469098.0,14.174288617564207
65536,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,183296,4x4,2x2,16,268435456,19051338.0,14.090110416391752
32,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,184320,2x2,4x4,4,128,1054.0,0.12144212523719165
64,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,185344,2x2,4x4,4,256,1005.0,0.25472636815920396
128,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,186368,2x2,4x4,4,512,985.0,0.5197969543147208
256,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,187392,2x2,4x4,4,1024,1052.0,0.973384030418251
512,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,188416,2x2,4x4,4,2048,1041.0,1.967339097022094
1024,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,189440,2x2,4x4,4,4096,1329.0,3.0820165537998494
2048,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,190464,2x2,4x4,4,8192,2192.0,3.7372262773722627
4096,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,191488,2x2,4x4,4,16384,3743.0,4.377237510018702
8192,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,192512,2x2,4x4,4,32768,7574.0,4.326379720095062
16384,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,193536,2x2,4x4,4,65536,15698.0,4.174799337495222
